stem,iou,f1,precision,recall,chamfer_distance,modified_hausdorff,precision_at_0.1m,recall_at_0.1m,f1_at_0.1m
best_117_1000,0.0729546638870612,0.13598833994864948,0.25547445255008255,0.0926538716075933,0.10229996160276081,0.08454011741683054,0.6222356861557103,0.7991498405951116,0.6996828609085511
best_117_1001,0.06917599186129615,0.12940056696602678,0.24199288255797166,0.08831168831111487,0.10571031644882177,0.08454011741683054,0.6251518833535844,0.7972831765935214,0.7008025743236246
best_117_1002,0.07751147373749358,0.14387126910003195,0.2634315424564397,0.09895833333268908,0.10276037183147319,0.08454011741683054,0.6287534121929026,0.8087141339001063,0.7074688663726881
best_117_1003,0.07259713701394378,0.1353670121913331,0.24356775299753744,0.09372937293667506,0.1029571675514972,0.08454011741683054,0.6225266362252664,0.8037974683544303,0.7016432367176518
best_117_1004,0.0733668341704856,0.1367041158421181,0.2466216216174557,0.09455958549161556,0.10672169587900095,0.08454011741683054,0.6236297198538368,0.8012486992715921,0.7013686103265561
best_117_1005,0.07896051973973534,0.14636405341094016,0.26245847175643755,0.10147719974244396,0.10540917877063319,0.08454011741683054,0.6224116930572473,0.808091286307054,0.7032008592707578
best_117_1006,0.07804632426949625,0.14479214913947383,0.255775577553535,0.10097719869641057,0.10619124758392746,0.08454011741683054,0.6179059180576632,0.8031413612565445,0.6984507889203357
best_117_1007,0.08141858141817473,0.1505773631729649,0.2689768976853304,0.10455420141049036,0.11100093554140875,0.08454011741683054,0.6121892055791389,0.7895277207392197,0.6896404482513504
best_117_1008,0.07626693426956213,0.14172493766959332,0.2508250825041118,0.09876543209812369,0.11428051383872348,0.08454011741683054,0.6147565769579679,0.7925311203319502,0.6924152270272923
best_117_1009,0.07491201608811004,0.139382596469765,0.2430668841722175,0.0977049180321462,0.11301166287336238,0.08454011741683054,0.6110941786040841,0.7974947807933194,0.6919611449441129
best_117_100,0.02664067576330968,0.051898729550344906,0.07142857142732703,0.04075546719641396,0.476656275459024,0.46689556977449587,0.11481191222570533,0.21166666666666667,0.14887257897608958
best_117_1010,0.08062880324502725,0.14922571152286399,0.25895765471890947,0.10481212920168219,0.11255475105538786,0.08454011741683054,0.6144945188794153,0.8002125398512221,0.6951633034792974
best_117_1011,0.08048904737605457,0.14898632308906637,0.257328990223822,0.10484406104774491,0.11352580355465336,0.08454011741683054,0.6081040217719987,0.7916666666666666,0.6878493519543077
best_117_1012,0.08611955420422432,0.15858208542400531,0.27243589743153146,0.1118421052624221,0.11112867504118595,0.08454011741683054,0.6112624886466849,0.8130252100840336,0.697853123637985
best_117_1013,0.07510080645123438,0.13970932543441997,0.23801916932527126,0.09887193098806324,0.11384582996803616,0.08454011741683054,0.6121580547112462,0.7903055848261328,0.689917246117836
best_117_1014,0.08316532258022599,0.15355979113109208,0.2644230769188394,0.10819672131076594,0.11300003009832535,0.08454011741683054,0.6071105754745405,0.7928870292887029,0.6876727439555942
best_117_1015,0.08149999999959251,0.15071659321580605,0.2616372391611294,0.10584415584346855,0.10856317531159594,0.08454011741683054,0.6167971101745936,0.8162839248434238,0.7026560956558726
best_117_1016,0.07587253414225659,0.14104371940300564,0.23999999999616,0.09986684420705814,0.10968189354635689,0.08454011741683054,0.6112278595016511,0.7970401691331924,0.6918756133787919
best_117_1017,0.07688467299013038,0.14279090919999352,0.24758842443331852,0.10032573289836923,0.11046355987803019,0.08454011741683054,0.625526791089705,0.8037190082644629,0.7035147752570928
best_117_1018,0.08191808191767275,0.1514312054879832,0.261562998400932,0.10656270305323871,0.10823605433846775,0.08454011741683054,0.6260504201680672,0.8132780082987552,0.7074869434960044
best_117_1019,0.07473841554521805,0.1390820542817136,0.23847376788174127,0.09816753926637325,0.11344108901891356,0.08454011741683054,0.6193061840120664,0.7930672268907563,0.6954979903781966
best_117_101,0.04054937867860988,0.07793839887560516,0.10634648370315014,0.06150793650732631,0.504632532448076,0.4726233044972963,0.11760242792109256,0.21774193548387097,0.15272050050005165
best_117_1020,0.08052340211333406,0.1490451751835786,0.25518341307408,0.10526315789404433,0.11438963415212668,0.08454011741683054,0.6104091456077015,0.7935349322210636,0.6900288753464993
best_117_1021,0.07863501483640636,0.14580467263633395,0.2515822784770319,0.10264686894704554,0.11438153546595038,0.08454011741683054,0.604916067146283,0.7921406411582212,0.6859830313227467
best_117_1022,0.07841191066958605,0.14542107269913643,0.24726134584902565,0.10299869621836377,0.11451602166294006,0.08470588235294052,0.6052944675788221,0.7938689217758985,0.6868739799158968
best_117_1023,0.07086223984107601,0.132346131866642,0.22239502332469058,0.09420289855010407,0.11861806219468933,0.08470588235294052,0.6011834319526628,0.7951680672268907,0.6847013298471074
best_117_1024,0.07714701601127052,0.14324323907471406,0.24200913241640779,0.10172744721623976,0.11674107138361761,0.08470588235294052,0.6040070713022981,0.8066875653082549,0.6907873294174809
best_117_1025,0.073770491802923,0.13740457594462716,0.22835820895181555,0.09826589595312611,0.11766452673410968,0.08470588235294052,0.6017023774581743,0.8072164948453608,0.6894706149126171
best_117_1026,0.06724721819028909,0.1260199413095663,0.20203488371799366,0.09156785243681445,0.12065273987213235,0.08470588235294052,0.599824355971897,0.799163179916318,0.6852920758567802
