stem,iou,f1,precision,recall,chamfer_distance,modified_hausdorff,precision_at_0.1m,recall_at_0.1m,f1_at_0.1m
best_117_1000,0.15994166261468187,0.27577535159770716,0.3759999999957028,0.21773659827784425,0.07829007900812872,0.04227005870841616,0.8379383634431455,0.7906482465462275,0.8136067061320467
best_117_1001,0.14679334916794873,0.25600662338177127,0.35354691075110356,0.20064935064804776,0.08297319362917936,0.04227005870841616,0.8358839050131927,0.7774294670846394,0.805597704736112
best_117_1002,0.150144369585418,0.2610878615137411,0.36533957845005455,0.20312499999867759,0.07942682484500904,0.04235294117647026,0.8440318302387267,0.7863974495217854,0.8141959700839702
best_117_1003,0.15294117646983854,0.2653061178622081,0.37275985662637084,0.2059405940580466,0.07866699267762871,0.04235294117647026,0.8277511961722488,0.7837552742616034,0.8051526613801672
best_117_1004,0.15097087378567492,0.2623365623044589,0.3760580411079074,0.2014248704650167,0.08092686577742292,0.04235294117647026,0.829023746701847,0.7887617065556711,0.8083917182777126
best_117_1005,0.14230953521733442,0.24916106929222998,0.3591293833088376,0.1907514450854801,0.07651712312135667,0.04227005870841616,0.8331562167906482,0.7956431535269709,0.8139676963514637
best_117_1006,0.14258001939795065,0.24957554723977873,0.3580998781929586,0.19153094462415943,0.07980239654436665,0.04227005870841616,0.8345705196182397,0.787434554973822,0.8103176395099153
best_117_1007,0.1451456310672566,0.25349724011062236,0.3737499999953281,0.19178960872231055,0.07777156779610213,0.04235294117647026,0.8398291510945008,0.7915811088295688,0.8149916705890563
best_117_1008,0.13560975609689946,0.23883161063717442,0.35234474017297407,0.1806367771268315,0.07965297030971802,0.04235294117647026,0.848,0.7873443983402489,0.8165473234719576
best_117_1009,0.12683643486715557,0.22511950878293574,0.33376288659363706,0.16983606557265682,0.07717952251567697,0.04227005870841616,0.8382118147951038,0.7954070981210856,0.8162486585633013
best_117_100,0.018753781004121273,0.036817097327015824,0.04572271386363241,0.03081510934363007,0.3665962543742673,0.3492111331786209,0.12453183520599251,0.29,0.1742410510912215
best_117_1010,0.13916500993966618,0.24432809325312804,0.36129032257598337,0.1845748187199435,0.07813201843768804,0.04227005870841616,0.8373940677966102,0.798087141339001,0.8172682509864014
best_117_1011,0.13270377733532454,0.2343132908229652,0.3458549222753128,0.17717319177055627,0.0795137303687115,0.04235294117647026,0.8377518557794273,0.7927350427350427,0.8146219999984401
best_117_1012,0.13359722909384664,0.23570492787631794,0.35019455252464077,0.1776315789461998,0.07765675387381762,0.04235294117647026,0.837467018469657,0.8014705882352942,0.8190734986850539
best_117_1013,0.12413793103387125,0.22085889121805688,0.32516129031838503,0.1672196416710868,0.07975126053119505,0.04235294117647026,0.8342977380326144,0.7924130663856691,0.8128161723809108
best_117_1014,0.13052011776187183,0.23090277329995623,0.341463414629763,0.17442622950705294,0.0815801178264619,0.04235294117647026,0.8276405675249606,0.7887029288702929,0.8077027402604411
best_117_1015,0.14229443623760565,0.24913792656889872,0.37051282050807033,0.1876623376611191,0.07625503116996252,0.04235294117647026,0.8422976501305482,0.8016701461377871,0.8214818778044307
best_117_1016,0.1347305389214834,0.23746701398283845,0.34974093263795675,0.17976031957270466,0.08087034324642822,0.04235294117647026,0.8288993218570684,0.7928118393234672,0.8104540532912432
best_117_1017,0.14010853477977253,0.24578104270293097,0.3659793814385827,0.18501628664374584,0.07672760032451102,0.04227005870841616,0.8413111342351717,0.7995867768595041,0.8199184720891621
best_117_1018,0.13408644400719996,0.23646599815107291,0.35454545454085007,0.17738791422886688,0.07770580236650677,0.04227005870841616,0.8398539384454877,0.8060165975103735,0.8225874331791739
best_117_1019,0.1328740157473776,0.23457862281500402,0.34883720929781864,0.17670157067947187,0.08067214369505135,0.04235294117647026,0.8386422976501305,0.7941176470588235,0.8157728834703579
best_117_101,0.018585131894372994,0.036492049323131895,0.04486251808907579,0.030753968253663156,0.36863799770126643,0.3408023985712529,0.1241714538223597,0.27903225806451615,0.17186270496246922
best_117_1020,0.13462493790295765,0.23730297277864598,0.3547120418801739,0.17828947368303757,0.07831485572305327,0.04235294117647026,0.8338557993730408,0.8008342022940563,0.8170114690285079
best_117_1021,0.13463414634080667,0.23731727843782832,0.3552123552077836,0.17817947062506018,0.08151338257801713,0.04235294117647026,0.826722338204593,0.7890382626680456,0.8074408461950491
best_117_1022,0.13115553388526985,0.23189654724189215,0.3422391857462819,0.17535853976417629,0.08190467762745161,0.04235294117647026,0.8203655352480418,0.7832980972515856,0.8014034187480421
best_117_1023,0.1306483300582974,0.23110338386427853,0.33928571428138665,0.17523056653376,0.08241245899263108,0.04235294117647026,0.8253801782905087,0.7804621848739496,0.802292962329608
best_117_1024,0.13055954088890215,0.23096446252262154,0.3408239700331982,0.17466410748448713,0.08203458406323763,0.04235294117647026,0.8121402407116692,0.7878787878787878,0.7998255683297258
best_117_1025,0.13001912045826952,0.2301184388177321,0.33705080544811583,0.17469492613889087,0.0826320583730184,0.04235294117647026,0.8153765690376569,0.7855670103092783,0.8001942577832343
best_117_1026,0.12681510164507834,0.22508590611344348,0.3234567901194635,0.1725955204204704,0.07974977027385881,0.04235294117647026,0.8177083333333334,0.7897489539748954,0.8034854823054456
best_117_1027,0.12793483469033093,0.22684791390774695,0.32760736195917045,0.17348927875130937,0.08100022867512369,0.04235294117647026,0.8074921956295525,0.7885416666666667,0.7979044214719225
best_117_1028,0.12892483349129913,0.22840286102047394,0.3265060240924517,0.17563188593534912,0.08074643008930472,0.04235294117647026,0.8028095733610822,0.7863874345549738,0.7945136489866504
best_117_1029,0.11288056206036122,0.20286194831938223,0.2910628019288519,0.15568475452095812,0.08279323977158826,0.04235294117647026,0.8027069234773555,0.7808930425752856,0.7916497363594839
best_117_102,0.01755412521932385,0.03450258281154825,0.04076086956466358,0.029910269192124524,0.3677897525329018,0.348608074706843,0.13522012578616352,0.3073170731707317,0.18780546561647254
best_117_1030,0.11990521326957392,0.21413457012889334,0.3040865384578836,0.16525146962661497,0.08487215879172724,0.04235294117647026,0.8059467918622848,0.7708553326293559,0.7880105800628688
best_117_1031,0.12705882352881384,0.22546972402041493,0.3176470588197924,0.17475728155226697,0.08218827433822908,0.04235294117647026,0.8091050181065701,0.7807652533609101,0.7946825496662149
best_117_1032,0.1257062146886737,0.2233375110687175,0.3093858632640859,0.1747382198941444,0.07877952330665329,0.04235294117647026,0.8033707865168539,0.7892518440463646,0.79624872654978
best_117_1033,0.12879141390513862,0.2281934637311652,0.3115124153463712,0.18003913894207413,0.08266207619458038,0.04235294117647026,0.805050505050505,0.7935684647302904,0.7992682451585503
best_117_1034,0.12931431201044954,0.22901385024801593,0.3064340239879342,0.18282368249718398,0.08293393640249402,0.04235294117647026,0.7927565392354124,0.795142555438226,0.7939477496935389
