stem,iou,f1,precision,recall,chamfer_distance,modified_hausdorff,precision_at_0.1m,recall_at_0.1m,f1_at_0.1m
best_117_1000,0.11731315042517827,0.20999152798810347,0.2914218566358235,0.16412971541916527,0.1274704469574302,0.12705882352941167,0.4526753246753247,0.8841826604897419,0.5987886138348842
best_117_1001,0.11579934364690203,0.20756302064086588,0.29404761904411847,0.16038961038856892,0.1259020404375724,0.12681017612524492,0.46674311926605505,0.8837662337662338,0.6108684914614745
best_117_1002,0.11737089201822831,0.21008402903437623,0.2962085308021776,0.16276041666560703,0.12634614903168007,0.12705882352941167,0.4621971595655806,0.88671875,0.6076566843625527
best_117_1003,0.11667453944205634,0.20896784649491038,0.2909305064747829,0.1630363036292869,0.12758832776158507,0.12705882352941167,0.4526348808030113,0.8871287128712871,0.5994272394117688
best_117_1004,0.11203703703651835,0.20149874644694515,0.28205128204799473,0.15673575129432166,0.12582583368448066,0.12705882352941167,0.4607555089192025,0.8886010362694301,0.6068489771930092
best_117_1005,0.10778443113722808,0.19459459002751903,0.27594339622316105,0.15028901734007521,0.12758783098795748,0.12705882352941167,0.4594935378795839,0.8837508028259473,0.6046223574752086
best_117_1006,0.11126629422667009,0.20025135694936746,0.2805164319215902,0.1557003257318847,0.12516820929587358,0.12705882352941167,0.46458180291741,0.8931596091205212,0.6112293471541869
best_117_1007,0.11131470453453361,0.2003297563284976,0.2802768166057638,0.15586914688803163,0.12745746007338876,0.12705882352941167,0.46009686249736786,0.8858242463117383,0.6056297813541209
best_117_1008,0.11269549217979441,0.202563037948985,0.2784090909059272,0.15919428200026514,0.12774353222458046,0.12705882352941167,0.4630505623883107,0.8862897985705003,0.6082927606701248
best_117_1009,0.1150978564766305,0.2064354320655123,0.28456221197828846,0.16196721311369203,0.126948925844773,0.12681017612524492,0.46667368642729284,0.8819672131147541,0.6103787713098968
best_117_100,0.06558400999334427,0.12309495412776662,0.14999999999785715,0.10437375745423087,0.6076012265769486,0.7503792018575154,0.07064258714825704,0.34393638170974156,0.1172107466003898
best_117_1010,0.11515151515097832,0.2065217344888866,0.28228571428248816,0.16282135794223587,0.12599531037182363,0.12705882352941167,0.4655534551564797,0.8932102834541858,0.6120815838199802
best_117_1011,0.11230697239067709,0.2019352078100519,0.2758620689623464,0.15925680159151126,0.12820408894489865,0.12705882352941167,0.45651488063939427,0.8878566688785667,0.6029877355681652
best_117_1012,0.11240130051039295,0.2020876780331886,0.2765714285682678,0.15921052631474206,0.1269297246634626,0.12705882352941167,0.4606469286692656,0.8881578947368421,0.6066514535697907
