stem,iou,f1,precision,recall,chamfer_distance,modified_hausdorff,precision_at_0.1m,recall_at_0.1m,f1_at_0.1m
best_117_1000,0.11731315042517827,0.20999152798810347,0.2914218566358235,0.16412971541916527,0.10540038355991398,0.09455581991156888,0.53772173541355,0.8841657810839533,0.6687380673053187
best_117_1001,0.11579934364690203,0.20756302064086588,0.29404761904411847,0.16038961038856892,0.10589494918034946,0.09455581991156749,0.5461752731947718,0.8756530825496343,0.6727395135839689
best_117_1002,0.11737089201822831,0.21008402903437623,0.2962085308021776,0.16276041666560703,0.10574780489192886,0.09455581991156749,0.5442468395114635,0.8841657810839533,0.6737610990719702
best_117_1003,0.11667453944205634,0.20896784649491038,0.2909305064747829,0.1630363036292869,0.1065743500081034,0.09455581991156888,0.5411487355336476,0.880801687763713,0.6704097532906892
best_117_1004,0.11203703703651835,0.20149874644694515,0.28205128204799473,0.15673575129432166,0.1051379120987131,0.09455581991156749,0.5403659849300323,0.8844953173777316,0.670873970978565
best_117_1005,0.10778443113722808,0.19459459002751903,0.27594339622316105,0.15028901734007521,0.10513920147225556,0.09455581991156749,0.5447696943607404,0.8838174273858921,0.6740603202816765
best_117_1006,0.11126629422667009,0.20025135694936746,0.2805164319215902,0.1557003257318847,0.10354026633747217,0.09455581991156749,0.5454545454545454,0.8900523560209425,0.6763925682324246
best_117_1007,0.11131470453453361,0.2003297563284976,0.2802768166057638,0.15586914688803163,0.10673523930381257,0.09455581991156749,0.5394396551724138,0.8819301848049281,0.6694219872257704
best_117_1008,0.11269549217979441,0.202563037948985,0.2784090909059272,0.15919428200026514,0.1052840750051171,0.09455581991156743,0.547506448839209,0.8869294605809128,0.6770600105020195
best_117_1009,0.1150978564766305,0.2064354320655123,0.28456221197828846,0.16196721311369203,0.10470546725598504,0.09455581991156743,0.5472347751237358,0.8778705636743215,0.6741975965569674
best_117_100,0.06558400999334427,0.12309495412776662,0.14999999999785715,0.10437375745423087,0.5758032861925151,0.652059989759483,0.06912442396313365,0.3516666666666667,0.11553835489384455
best_117_1010,0.11515151515097832,0.2065217344888866,0.28228571428248816,0.16282135794223587,0.10414265129839842,0.09455581991156743,0.5501611170784103,0.8894792773645058,0.6798321460591619
best_117_1011,0.11230697239067709,0.2019352078100519,0.2758620689623464,0.15925680159151126,0.10598401096228799,0.09455581991156749,0.5428879310344827,0.8867521367521367,0.6734660567253998
best_117_1012,0.11240130051039295,0.2020876780331886,0.2765714285682678,0.15921052631474206,0.10535046641886836,0.09455581991156749,0.5433563416738568,0.8865546218487395,0.6737693254218085
best_117_1013,0.11599625818467729,0.20787929123734156,0.2821387940809768,0.16456536164456162,0.10550743119315807,0.09455581991156749,0.5427645788336933,0.8872497365648051,0.6735145530135925
best_117_1014,0.11556383970123224,0.20718462361095943,0.28538550057208995,0.16262295081860575,0.10771285776570827,0.09455581991156749,0.5454545454545454,0.8797071129707112,0.6733835943942738
